date,arrivals,arrivals_male,arrivals_female,soe
2020-01-01,2923053,1598823,1324230,ALL
2020-02-01,1997322,1186644,810678,ALL
2020-03-01,1065039,638642,426397,ALL
2020-04-01,15077,14086,991,ALL
2020-05-01,14282,13195,1087,ALL
2020-06-01,14400,13103,1297,ALL
2020-07-01,20345,17607,2738,ALL
2020-08-01,22229,19152,3077,ALL
2020-09-01,22642,19814,2828,ALL
2020-10-01,22749,20108,2641,ALL
2020-11-01,24973,22337,2636,ALL
2020-12-01,29897,27721,2176,ALL
2021-01-01,35867,33715,2152,ALL
2021-02-01,33309,31254,2055,ALL
2021-03-01,42434,38999,3435,ALL
2021-04-01,37880,34692,3188,ALL
2021-05-01,35434,33309,2125,ALL
2021-06-01,29607,28412,1195,ALL
2021-07-01,31331,29497,1834,ALL
2021-08-01,31658,29346,2312,ALL
2021-09-01,35017,32647,2370,ALL
2021-10-01,38564,34973,3591,ALL
2021-11-01,42323,37529,4794,ALL
2021-12-01,77135,60339,16796,ALL
2022-01-01,76559,60079,16480,ALL
2022-02-01,68753,55801,12952,ALL
2022-03-01,92455,72545,19910,ALL
2022-04-01,604690,382594,222096,ALL
2022-05-01,1037181,633842,403339,ALL
2022-06-01,1389092,813559,575533,ALL
2022-07-01,1699890,986785,713105,ALL
2022-08-01,1808373,1059751,748622,ALL
2022-09-01,1900183,1095258,804925,ALL
2022-10-01,2022369,1156405,865964,ALL
2022-11-01,2048419,1177765,870654,ALL
2022-12-01,2400548,1306834,1093714,ALL
2023-01-01,2234972,1254853,980119,ALL
2023-02-01,2047306,1187808,859498,ALL
2023-03-01,2388103,1355674,1032429,ALL
2023-04-01,2282367,1259274,1023093,ALL
2023-05-01,2416296,1375694,1040602,ALL
2023-06-01,2399593,1318503,1081090,ALL
2023-07-01,2829817,1550303,1279514,ALL
2023-08-01,2701427,1511318,1190109,ALL
2023-09-01,2718469,1514846,1203623,ALL
2023-10-01,2656279,1479097,1177182,ALL
2023-11-01,2663169,1473022,1190147,ALL
2023-12-01,3177506,1694180,1483326,ALL
2024-01-01,2573413,1400702,1172711,ALL
2024-02-01,2792284,1506816,1285468,ALL
2024-03-01,3253261,1737534,1515727,ALL
2024-04-01,2934252,1595109,1339143,ALL
2024-05-01,3198870,1772729,1426141,ALL
2024-06-01,3519432,1855032,1664400,ALL
2024-07-01,3528343,1862087,1666256,ALL
2024-08-01,3770832,1992771,1778061,ALL
2024-09-01,3228672,1746937,1481735,ALL
2024-10-01,3099807,1679534,1420273,ALL
